Height,Since Last Nibble
23,23
47,24
74,27
132,58
205,73
216,11
225,9
243,18
249,6
251,2
260,9
265,5
299,34
305,6
318,13
319,1
321,2
322,1
363,41
366,3
392,26
394,2
408,14
418,10
431,13
464,33
476,12
512,36
513,1
524,11
544,20
556,12
558,2
567,9
572,5
576,4
577,1
590,13
616,26
622,6
689,67
708,19
736,28
743,7
751,8
752,1
755,3
763,8
766,3
771,5
774,3
786,12
800,14
807,7
809,2
820,11
832,12
833,1
835,2
871,36
897,26
908,11
943,35
955,12
968,13
971,3
991,20
1007,16
1014,7
1020,6
1025,5
1057,32
1067,10
1070,3
1081,11
1094,13
1111,17
1112,1
1114,2
1125,11
1129,4
1181,52
1199,18
1216,17
1239,23
1251,12
1273,22
1291,18
1293,2
1314,21
1318,4
1329,11
1345,16
1359,14
1371,12
1375,4
1394,19
1404,10
1434,30
1439,5
1447,8
1462,15
1483,21
1494,11
1503,9
1506,3
1513,7
1523,10
1526,3
1536,10
1545,9
1577,32
1578,1
1584,6
1595,11
1626,31
1635,9
1676,41
1736,60
1737,1
1740,3
1742,2
1751,9
1765,14
1772,7
1792,20
1795,3
1816,21
1818,2
1846,28
1867,21
1911,44
1929,18
1930,1
1957,27
1958,1
1979,21
2000,21
2017,17
2052,35
2065,13
2074,9
2107,33
2109,2
2124,15
2133,9
2156,23
2181,25
2184,3
2193,9
2199,6
2214,15
2232,18
2247,15
2250,3
2252,2
2256,4
2296,40
2307,11
2316,9
2320,4
2326,6
2357,31
2370,13
2377,7
2396,19
2412,16
2417,5
2431,14
2449,18
2477,28
2490,13
2491,1
2498,7
2548,50
2557,9
2559,2
2575,16
2577,2
2580,3
2583,3
2615,32
2616,1
2643,27
2648,5
2657,9
2661,4
2662,1
2681,19
2703,22
2741,38
2744,3
2758,14
2793,35
2797,4
2799,2
2801,2
2815,14
2820,5
2832,12
2845,13
2885,40
2903,18
2915,12
2924,9
2930,6
2944,14
2992,48
2997,5
2998,1
3007,9
3025,18
3036,11
3062,26
3074,12
3081,7
3082,1
3090,8
3097,7
3121,24
3151,30
3152,1
3166,14
3179,13
3193,14
3195,2
3228,33
3270,42
3277,7
3282,5
3293,11
3299,6
3308,9
3310,2
3320,10
3321,1
3333,12
3349,16
3356,7
3397,41
3398,1
3411,13
3446,35
3447,1
3450,3
3465,15
3492,27
3508,16
3523,15
3524,1
3528,4
3542,14
3563,21
3591,28
3603,12
3639,36
3665,26
3706,41
3708,2
3726,18
3732,6
3749,17
3758,9
3766,8
3779,13
3801,22
3827,26
3842,15
3849,7
3858,9
3926,68
3929,3
3937,8
3951,14
3953,2
3985,32
3986,1
3990,4
4032,42
4044,12
4072,28
4155,83
4160,5
4182,22
4198,16
4235,37
4259,24
4291,32
4307,16
4335,28
4342,7
4354,12
4377,23
4382,5
4392,10
4396,4
4434,38
4443,9
4445,2
4506,61
4526,20
4550,24
4611,61
4619,8
4623,4
4640,17
4650,10
4670,20
4692,22
4708,16
4729,21
4746,17
4749,3
4755,6
4789,34
4813,24
4861,48
4869,8
4896,27
4904,8
4917,13
4932,15
4942,10
4973,31
4978,5
4984,6
4986,2
4997,11
4999,2
5019,20
5021,2
5034,13
5037,3
5044,7
5059,15
5066,7
5072,6
5074,2
5080,6
5084,4
5095,11
5123,28
5187,64
5210,23
5232,22
5298,66
5312,14
5351,39
5362,11
5363,1
5395,32
5396,1
5400,4
5402,2
5403,1
5405,2
5435,30
5473,38
5479,6
5489,10
5496,7
5507,11
5517,10
5536,19
5553,17
5557,4
5575,18
5619,44
5630,11
5633,3
5659,26
5675,16
5678,3
5680,2
5688,8
5694,6
5746,52
5784,38
5817,33
5824,7
5833,9
5924,91
5950,26
5979,29
5996,17
6002,6
6031,29
6044,13
6072,28
6092,20
6094,2
6106,12
6110,4
6143,33
6162,19
6165,3
6191,26
6215,24
6254,39
6262,8
6288,26
6292,4
6302,10
6304,2
6352,48
6371,19
6402,31
6422,20
6423,1
6437,14
6453,16
6457,4
6475,18
6498,23
6517,19
6530,13
6553,23
6568,15
6589,21
6597,8
6612,15
6624,12
6677,53
6714,37
6723,9
6749,26
6752,3
6841,89
6877,36
6910,33
6916,6
6930,14
6950,20
6954,4
6961,7
6964,3
6965,1
6985,20
6989,4
7037,48
7041,4
7042,1
7050,8
7064,14
7073,9
7081,8
7085,4
7115,30
7128,13
7152,24
7153,1
7159,6
7210,51
7212,2
7233,21
7235,2
7239,4
7270,31
7307,37
7314,7
7323,9
7324,1
7347,23
7406,59
7417,11
7451,34
7466,15
7472,6
7475,3
7476,1
7495,19
7497,2
7520,23
7523,3
7531,8
7551,20
7560,9
7565,5
7571,6
7578,7
7579,1
7601,22
7605,4
7645,40
7658,13
7703,45
7732,29
7735,3
7761,26
7804,43
7848,44
7854,6
7856,2
7898,42
7914,16
7916,2
7931,15
7940,9
7965,25
7968,3
7971,3
7974,3
7982,8
8001,19
8018,17
8042,24
8054,12
8077,23
8147,70
8156,9
8201,45
8203,2
8213,10
8217,4
8222,5
8261,39
8265,4
8299,34
8316,17
8351,35
8359,8
8367,8
8386,19
8391,5
8426,35
8464,38
8477,13
8488,11
8489,1
8513,24
8545,32
8558,13
8574,16
8577,3
8578,1
8582,4
8619,37
8674,55
8680,6
8683,3
